,X_centroid,Y_centroid,Hoechst,AF1,CD31,Ki-67,AF2,CD163,CD20,CD4,CD8a,CD68,PD-L1,FOXP3,E-Cadherin,PD-1,CD45,Pan-CK,SMA,Cell type
90295,1978.0,4964.4,14817.9629,1347.2858,373.3158,396.2331,460.2632,285.1128,1476.4812,780.218,294.6015,268.6541,312.0752,246.1805,246.2556,290.0977,1493.3534,228.1955,289.0602,CD20+ CD4+
90296,2076.2,4965.3,5120.6279,1469.2073,391.0366,411.6342,489.5305,402.4573,467.5854,371.2256,324.4817,287.4573,292.6403,244.8171,249.0244,277.1707,404.1768,230.6341,526.9756,Others
90297,2059.6,4968.0,5112.9458,2149.3337,622.4785,492.1232,592.2149,344.01,635.3181,365.7464,311.2851,270.7034,331.3596,257.1819,242.1275,293.1791,316.2421,225.7221,275.1562,Others
90300,2024.9,4966.9,7835.0889,1766.6284,1078.8723,431.5557,530.6721,299.1955,946.1163,399.3796,305.8869,253.6301,334.294,257.3021,244.1405,283.2149,510.3215,225.1309,356.496,Others
90301,1938.6,4966.4,9650.584,1387.4635,364.1318,375.6823,442.9341,283.6682,2822.1318,430.9953,324.7953,244.2894,361.6188,261.4659,245.6118,283.5812,1930.2917,227.6047,297.9671,CD20+
90302,1950.5,4967.5,14713.4219,1316.4581,372.0691,373.8073,433.9782,278.1454,2563.709,465.4618,296.1855,245.7673,314.2364,246.8582,240.6291,292.0909,1809.5127,228.0109,293.8254,CD20+
90303,1958.4,4965.9,14060.6084,1334.149,376.5093,373.2671,439.677,288.5963,2325.5901,925.913,307.5031,265.9627,329.3913,266.9131,244.882,374.0062,2149.0374,214.9317,284.2981,CD20+ CD4+
90305,1999.1,4966.9,14052.6826,1434.4065,382.2967,392.4718,476.7982,297.1009,3009.9287,425.4748,303.8487,253.2225,300.2107,265.8902,245.0534,285.9318,1230.5164,223.2285,290.2077,CD20+
90306,2036.2,4966.3,7677.353,1511.6161,774.0433,402.9505,468.4303,285.452,502.7368,390.2322,289.9567,255.1981,316.0712,257.452,235.6223,294.4303,345.7926,221.7214,306.2848,Others
90309,1981.6,4966.5,15239.5723,1324.6144,366.3771,401.3263,439.1398,290.1949,926.4915,1214.572,305.3856,274.7288,329.2458,257.3644,239.9703,311.2415,2174.8262,210.2458,277.661,CD4+
90311,1933.1,4968.1,14035.2676,1225.7068,353.4463,361.0652,416.9576,274.0684,1925.7655,351.3518,462.6254,250.6482,303.0554,263.5309,243.8697,279.215,1735.2802,229.5016,284.1629,CD20+
